CODE;TITRE;DEBUT DE VALIDITE;FIN DE VALIDITE;UTILISATION;UTILISATION PAR CLIENT;POURCENTAGE REMISE %;VALABLE SUR PAYS;TYPE DE FORFAIT
1VP8SJ6;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1VZKLS4;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1X8X3Q7;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1XFSUED;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1XXMJ03;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1YFZR3V;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1YHKTJB;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1YJ20MS;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1YLFHBX;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1Z8DLEJ;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1ZIWR9C;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1ZVOUKR;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
1ZYV4SJ;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
200GBJ1;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
209CU7R;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
20BJC3D;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
20DCTHD;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
20IVK8E;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
20N9A7D;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
210Q2XY;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
212NY5Z;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
21AJGEZ;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
21ST30V;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
21XGSFH;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
22FIJPM;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
22NTDOF;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
22WSZVP;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
234VSHK;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
235OFY9;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
236JZ2V;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2380YXI;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
23UYK60;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
23X5IS9;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
23XUF4L;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
23ZFO8N;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
23ZMHN0;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
249NBKH;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
24D5NVM;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
2537YV6;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
25B3YDO;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
25CFCDV;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
25CGDSN;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
25DNPM9;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
25GHHNM;GROUPON30;25/11/2015 00:01;05/05/2016 23:59;1;1;100;Tous;30 Minutes de communication (1800 crédits à 52.5€ )
